Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,7,1,9147,1,3,1,1,38,38,1,9,2,0,0,0,1,0,0,3,0,0,1,2,1,1,0,0,1,3,1,3,0,1,1,2,2
1,17,1,9773,1,1,1,1,38,38,9,5,0,0,0,0,1,0,0,2,0,0,2,2,2,1,0,0,2,2,2,1,0,3,3,0,1
1,7,1,9500,1,3,2,1,1,37,9,5,3,0,0,0,1,0,0,3,0,0,3,2,3,3,0,0,3,2,3,3,0,1,1,2,2
1,1,4,9500,1,1,1,1,1,1,4,10,1,1,0,0,1,1,1,0,0,0,3,1,3,3,0,0,3,2,3,3,0,2,1,2,2
1,17,2,9254,1,1,0,22,19,37,9,9,0,1,0,0,0,0,0,0,1,0,3,2,2,2,0,0,3,1,2,1,0,1,1,3,1
1,1,1,9238,1,1,3,1,19,38,9,9,3,0,0,0,1,1,1,0,0,0,2,1,2,3,0,0,2,1,2,3,0,2,0,2,2
1,17,1,9085,1,1,1,1,38,38,4,9,1,0,0,0,1,0,0,1,0,0,2,2,3,2,0,0,2,3,3,1,0,2,1,2,2
1,1,1,9070,1,1,0,1,1,1,3,9,1,0,0,0,1,1,0,0,0,0,2,1,2,1,0,0,2,2,1,0,2,3,0,1,2
1,1,3,9670,1,1,0,1,1,19,5,5,0,1,0,0,1,1,1,1,0,0,2,1,3,1,0,0,2,3,1,0,0,1,1,2,1
2,39,1,9991,0,1,0,1,37,19,9,9,3,0,0,1,0,1,0,3,0,0,1,1,1,1,0,0,1,2,1,1,0,1,1,2,0
1,1,3,9070,1,1,1,1,19,19,3,3,2,1,0,0,1,0,0,1,0,0,3,1,3,1,0,0,3,1,1,2,0,0,0,0,1
1,1,6,9238,1,1,0,1,1,38,194,163,0,1,0,1,1,0,1,1,0,0,2,2,1,1,0,0,2,2,1,1,0,0,1,3,2
1,43,1,9500,1,1,0,1,2,4,4,5,3,0,0,0,1,1,0,2,0,0,3,3,2,1,0,0,3,3,3,1,0,2,0,2,0
1,1,4,9238,1,1,0,1,38,1,4,10,2,1,0,0,1,0,0,0,0,0,2,2,2,1,0,0,2,1,2,2,0,1,1,2,2
1,44,1,9085,1,39,2,1,37,38,5,6,3,1,0,0,1,0,0,2,0,1,1,3,1,2,0,1,1,3,1,3,0,3,0,1,1
1,17,2,9238,1,1,0,1,19,38,7,8,0,1,0,0,1,0,0,2,0,0,1,2,2,1,0,0,1,2,2,2,0,3,0,1,2
1,43,1,9500,1,19,1,1,34,34,0,0,0,1,0,0,1,1,0,3,0,0,3,2,0,0,3,0,3,2,0,0,3,0,2,1,0
1,17,1,171,1,1,0,1,37,37,7,9,2,1,0,0,1,1,0,2,0,3,3,3,3,1,0,3,3,3,3,1,0,1,1,3,0
1,1,2,9773,1,1,1,1,19,38,3,9,2,1,0,0,1,0,0,0,0,0,2,2,1,2,0,0,2,1,2,2,0,2,3,0,2
1,17,3,9147,1,1,1,1,37,37,5,7,0,0,0,0,1,1,0,0,0,0,1,3,0,0,2,0,1,3,0,0,0,0,0,0,0
1,1,1,9238,1,1,3,1,19,1,6,5,2,1,0,0,1,0,0,0,0,0,2,2,3,3,0,0,2,1,3,2,0,2,3,0,2
2,39,1,9147,1,1,1,1,37,37,9,9,0,0,0,0,1,0,0,3,0,0,1,1,0,0,2,0,1,0,0,0,0,1,1,2,0
1,7,1,9085,1,40,2,1,5,3,2,2,3,0,0,1,1,1,0,3,0,3,3,3,3,3,2,3,3,3,2,3,0,1,1,3,0
4,39,1,9500,1,19,1,1,37,37,6,6,0,0,0,1,0,0,0,3,0,0,3,3,1,2,0,0,3,3,1,1,0,1,1,3,0
1,39,1,9991,0,1,1,1,37,37,9,5,3,1,0,1,1,1,0,3,0,0,1,3,1,2,0,0,1,2,1,1,1,2,3,0,0
1,1,1,9147,1,1,0,1,37,38,9,9,0,0,0,0,1,0,1,0,0,0,1,2,2,1,0,0,1,1,2,1,0,1,1,3,2
1,17,2,9500,1,1,2,1,1,1,5,10,2,1,0,0,1,0,0,0,0,0,3,3,2,3,0,0,3,3,3,2,0,2,1,2,1
1,17,1,9254,1,1,2,1,3,1,2,3,2,0,0,0,1,0,1,0,0,0,2,3,2,1,0,0,2,2,1,2,0,0,0,0,2
1,7,1,9500,1,3,0,1,1,1,7,10,1,1,0,0,0,1,0,2,0,0,3,0,0,0,0,0,3,0,0,0,0,2,3,0,0
1,1,1,9254,1,1,1,1,37,38,9,9,2,1,0,0,1,0,0,0,0,0,2,3,1,1,0,0,2,2,1,1,0,0,0,0,2
1,1,1,9147,1,1,0,1,37,37,9,7,1,1,0,0,1,0,1,0,0,0,1,1,2,2,0,0,1,2,2,1,0,0,0,0,2
2,39,1,9500,1,19,1,1,37,38,9,7,0,1,0,0,1,1,0,3,0,0,3,2,3,1,0,0,3,2,3,1,0,1,1,2,1
1,17,1,9085,1,1,1,1,1,3,4,1,2,1,0,0,1,0,0,0,0,0,1,3,1,1,1,0,1,3,1,0,0,2,3,0,2
1,1,1,9500,1,1,1,1,19,19,4,4,1,1,0,0,1,0,0,1,0,0,3,2,3,3,0,0,3,2,3,3,0,2,3,0,1
1,39,1,9991,0,1,1,1,1,1,4,10,0,0,0,0,1,1,0,2,0,0,1,1,1,1,0,0,1,1,2,2,0,2,1,2,1
1,1,6,9500,1,1,2,1,19,38,4,9,2,1,0,0,1,0,0,0,0,0,3,3,3,2,0,0,3,3,3,2,0,2,3,0,0
1,7,1,9500,1,3,1,1,37,37,9,5,2,0,0,0,1,0,0,3,0,0,3,1,0,0,3,0,3,1,0,0,3,3,0,1,0
1,16,2,9500,1,1,1,1,2,38,4,9,1,1,0,0,1,0,1,0,0,0,3,3,3,2,0,0,3,3,3,2,0,1,1,2,2
1,18,3,9070,1,1,3,1,1,37,4,7,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,3,0,0
1,17,4,9238,1,1,1,1,37,37,9,8,0,1,0,0,1,1,0,2,0,0,2,1,2,2,0,0,2,1,2,3,0,0,1,3,2
1,43,1,171,1,1,0,1,3,1,2,3,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
1,1,1,9085,1,1,1,1,37,37,9,6,2,1,0,0,1,0,1,0,0,0,2,3,2,3,0,0,2,2,2,3,0,3,3,0,2
1,1,1,9991,0,1,1,1,2,37,3,9,2,0,0,0,1,1,0,3,0,0,1,1,1,2,0,0,1,2,1,3,0,2,0,2,2
1,1,3,9773,1,1,3,11,19,19,4,9,2,1,0,0,1,1,1,0,1,0,2,1,2,3,0,0,2,1,2,2,0,3,0,1,2
1,1,2,9085,1,1,3,1,1,38,9,8,2,1,0,0,1,0,1,0,0,0,2,1,2,3,0,0,2,3,2,3,0,0,1,3,2
1,17,1,9254,1,1,2,1,19,1,9,4,1,1,0,0,1,0,0,0,0,0,2,3,1,1,0,0,2,3,1,1,0,0,2,1,0
1,7,1,9500,1,3,1,1,19,38,4,10,2,1,0,0,1,0,0,2,0,1,3,2,2,3,0,1,3,2,2,3,0,0,2,1,2
1,43,1,9147,1,1,1,1,37,19,9,8,2,0,0,0,1,1,0,2,0,0,1,1,0,0,0,0,1,2,1,2,2,3,0,1,1
1,17,1,9670,1,3,0,1,12,3,5,8,0,1,0,1,0,0,0,1,0,0,2,1,0,0,0,0,2,2,0,0,0,1,1,2,0
1,43,1,9500,1,1,0,1,37,37,9,7,1,1,0,0,1,0,1,0,0,0,3,2,2,2,0,0,3,2,2,2,0,0,2,1,1
1,1,1,9500,1,1,2,1,19,38,9,9,1,1,0,0,1,0,1,0,0,0,3,2,3,2,0,0,3,2,3,2,0,2,3,0,2
1,39,1,9670,1,1,0,1,1,19,4,10,3,1,0,0,1,0,1,3,0,0,2,1,3,2,0,0,2,3,2,3,0,1,1,2,2
1,17,1,9147,1,1,2,1,37,38,9,9,2,1,0,1,1,0,1,0,0,0,1,1,2,2,0,0,1,1,2,2,0,1,1,3,2
1,39,2,9556,1,1,1,1,37,19,9,8,0,0,0,0,1,1,1,2,0,0,3,3,3,0,0,0,3,2,3,1,0,2,3,0,1
1,17,4,9119,1,1,2,1,1,3,1,4,2,1,0,0,1,1,0,0,0,0,1,1,2,3,0,0,1,1,2,3,0,0,1,3,0
