MaritalStatus,ApplicationMode,ApplicationOrder,Course,DaytimeEveningAttendance,PreviousQualification,PreviousQualificationGrade,Nationality,MothersQualification,FathersQualification,MothersOccupation,FathersOccupation,AdmissionGrade,Displaced,EducationalSpecialNeeds,Debtor,TuitionFeesUpToDate,Gender,ScholarshipHolder,AgeAtEnrollment,International,CurricularUnits1stSemCredited,CurricularUnits1stSemEnrolled,CurricularUnits1stSemEvaluations,CurricularUnits1stSemApproved,CurricularUnits1stSemGrade,CurricularUnits1stSemWithoutEvaluations,CurricularUnits2ndSemCredited,CurricularUnits2ndSemEnrolled,CurricularUnits2ndSemEvaluations,CurricularUnits2ndSemApproved,CurricularUnits2ndSemGrade,CurricularUnits2ndSemWithoutEvaluations,UnemploymentRate,InflationRate,GDP,Target
1,1,1,9670,1,1,3,1,19,3,4,0,3,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,2,0,0,2,1,0
1,17,4,9254,1,1,1,1,37,37,5,8,2,1,0,0,1,0,1,0,0,0,2,3,1,0,0,0,2,3,1,0,0,0,2,1,0
1,39,1,9991,0,1,0,1,37,37,9,9,1,0,0,0,0,1,0,3,0,0,1,1,0,0,0,0,1,1,0,0,0,2,3,0,0
1,1,1,9670,1,1,0,1,38,19,0,2,0,1,0,0,1,1,0,2,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0
1,1,1,171,1,1,0,1,38,1,5,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
1,1,2,9254,1,1,0,1,19,1,9,8,0,0,0,0,1,1,0,2,0,0,2,2,1,1,0,0,2,2,1,1,0,3,3,0,0
1,44,1,9130,1,39,1,1,3,1,3,6,2,1,0,1,1,1,0,1,0,1,2,2,1,0,0,1,2,3,1,0,0,2,1,2,0
1,17,5,9254,1,1,0,1,38,1,5,9,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,1,1,2,0
1,18,1,9853,1,1,0,1,19,19,9,7,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,0
5,7,1,9070,1,3,2,1,37,37,7,7,3,0,0,0,0,1,0,3,0,0,2,1,1,0,0,0,2,1,0,0,0,3,3,0,0
1,17,1,9130,1,1,0,1,19,19,4,4,0,1,0,0,1,0,0,0,0,0,2,2,2,1,0,0,2,3,1,3,0,0,1,3,0
2,39,1,9500,1,3,1,1,1,1,4,6,3,0,0,1,0,0,0,3,0,2,3,3,1,2,0,2,3,3,1,1,0,2,0,2,0
1,43,1,9119,1,1,1,1,1,1,9,3,3,0,0,0,1,1,0,3,0,0,1,3,1,1,0,0,1,2,1,1,3,3,0,1,0
1,42,1,9853,1,1,0,1,1,19,4,7,0,0,0,0,1,0,0,2,0,3,3,3,3,1,0,3,3,3,3,0,0,3,0,1,0
2,39,1,9085,1,1,1,1,36,36,99,5,2,0,0,0,0,0,1,3,0,0,1,3,1,1,3,0,1,1,0,0,3,0,0,0,0
