Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
2,39,1,9085,1,19,1,1,19,19,9,5,0,1,0,0,1,0,0,3,0,0,2,3,1,2,0,0,2,3,1,1,0,3,3,0,0
2,39,1,9991,0,12,1,1,37,1,9,4,3,0,0,0,1,1,0,3,0,0,1,2,1,1,0,0,1,2,1,1,0,0,2,1,0
1,39,1,9119,1,19,0,1,37,37,9,4,0,0,0,1,0,1,0,3,0,0,1,3,0,0,0,0,1,1,0,0,0,2,1,2,0
1,42,1,9119,1,1,2,1,3,3,3,2,2,1,0,0,1,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,0
4,43,2,9991,0,38,1,1,3,1,2,9,1,0,0,0,1,1,0,3,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,2,0
1,39,1,9003,1,1,1,1,1,37,9,8,2,0,0,0,1,1,0,3,0,0,1,1,0,0,0,0,1,2,0,0,0,3,0,1,0
1,17,4,9070,1,1,1,1,1,1,9,10,3,1,0,1,0,1,0,0,0,0,2,1,3,2,0,0,2,2,2,1,0,1,1,3,0
1,7,1,9500,1,3,1,1,37,37,9,5,2,0,0,0,1,0,0,3,0,0,3,1,0,0,3,0,3,1,0,0,3,3,0,1,0
1,39,1,8014,0,1,1,1,34,34,0,0,0,1,0,0,1,1,0,3,0,0,2,3,0,0,1,0,1,3,0,0,0,0,2,1,0
1,1,1,171,1,1,3,1,1,1,4,3,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
1,44,1,9085,1,39,3,1,1,1,5,4,3,1,1,0,0,1,0,0,0,1,2,1,2,3,0,1,2,3,2,3,0,2,1,2,0
5,39,1,9147,1,1,3,1,1,1,4,8,3,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,2,0
1,1,1,9070,1,1,1,1,38,37,3,6,3,1,0,0,1,0,1,0,0,0,1,2,1,1,0,0,1,3,1,1,0,0,1,3,0
1,17,2,9254,1,1,1,1,37,37,5,7,1,1,0,0,1,1,0,3,0,0,1,3,1,0,0,0,1,3,1,1,0,0,2,1,0
2,43,1,9991,0,1,1,1,37,37,9,9,0,1,0,0,1,0,0,3,0,2,3,3,1,0,0,2,3,3,1,0,0,0,2,1,0
1,44,1,9130,1,39,1,1,1,3,9,2,2,1,0,1,1,0,1,2,0,1,2,3,1,2,0,1,2,3,1,2,0,2,0,2,0
1,17,5,9119,1,1,1,1,38,38,5,9,0,1,0,1,1,1,0,1,0,0,1,1,1,3,0,0,2,2,1,2,0,1,1,3,0
1,1,3,9773,1,1,1,1,1,1,4,4,2,1,0,0,1,0,1,0,0,0,2,1,3,2,0,0,2,2,2,2,0,2,1,2,0
2,42,1,9853,1,1,1,1,37,37,4,7,0,0,0,0,1,0,0,3,0,2,3,3,3,2,0,2,3,3,3,1,0,2,3,0,0
1,1,5,9773,1,1,1,1,1,38,9,5,2,1,0,1,0,1,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,1,1,3,0
2,39,1,9853,1,1,1,1,37,37,5,5,0,0,0,0,1,0,0,3,0,0,3,3,1,0,0,0,3,1,1,2,0,3,0,1,0
1,1,2,9500,1,1,2,1,3,3,2,2,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,2,3,0,0
1,17,4,9085,1,1,1,1,1,3,5,5,1,1,0,0,1,1,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,2,0
1,39,1,9991,0,3,0,1,37,37,9,9,3,0,0,0,1,0,0,3,0,3,3,3,3,1,0,3,3,3,3,1,0,1,1,2,0
1,44,1,171,1,39,3,1,19,38,9,9,3,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
1,17,6,9500,1,1,3,1,1,38,4,8,3,1,0,0,1,0,0,1,0,0,3,3,3,2,0,0,3,2,3,3,0,2,0,2,0
1,17,2,9853,1,1,3,1,38,19,4,9,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,2,0
