Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,17,5,9085,1,1,1,1,19,19,90,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,3,0,0
1,39,1,9556,1,1,1,6,3,3,4,4,3,0,0,1,0,0,0,3,1,0,3,1,0,0,0,0,1,3,0,0,0,2,1,2,0
1,44,1,9070,1,39,0,1,1,38,4,6,0,0,0,1,0,0,0,2,0,1,3,2,2,1,0,2,3,2,2,0,0,2,1,2,0
1,1,3,9773,1,1,2,1,1,39,4,1,2,1,1,0,1,1,0,2,0,0,2,1,1,1,0,0,2,2,0,0,0,3,0,1,0
1,43,1,9147,1,1,3,1,1,3,1,1,0,0,0,0,1,1,0,3,0,0,1,2,1,0,0,0,1,2,0,0,0,3,3,0,0
1,39,1,9991,0,19,1,1,37,37,9,6,0,0,0,1,1,0,0,3,0,0,1,3,1,0,0,0,1,1,0,0,0,2,1,2,0
1,39,1,9500,1,1,2,1,37,37,9,6,3,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,2,0,2,0
1,42,1,9773,1,1,1,1,19,6,4,3,1,0,0,0,1,1,0,3,0,0,1,2,0,0,0,0,1,3,0,0,0,0,0,0,0
1,39,1,9085,1,19,1,1,3,1,2,5,0,0,0,0,1,1,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,2,0
1,1,1,9500,1,1,3,1,37,37,9,9,3,1,0,0,1,0,1,3,0,0,3,2,3,3,0,0,3,3,1,3,0,2,0,2,0
1,17,6,9147,1,1,0,1,37,1,9,7,0,1,0,0,0,1,0,2,0,0,1,2,1,0,1,0,1,2,1,2,0,0,0,0,0
2,39,1,9991,0,1,2,1,37,12,9,9,3,0,0,1,1,1,0,3,0,0,1,1,2,0,0,0,1,1,2,1,2,0,0,0,0
1,39,1,9130,1,1,3,1,1,1,4,10,0,0,0,1,1,1,0,2,0,0,1,3,1,2,3,0,1,2,1,2,0,0,0,0,0
1,42,1,9147,1,1,2,1,19,1,4,4,1,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,3,3,0,0
1,7,2,9500,1,3,2,1,37,38,9,9,3,0,0,0,1,1,0,3,0,0,3,1,3,3,0,0,3,2,3,3,0,3,0,1,0
1,42,1,9070,1,1,0,1,3,2,3,1,0,0,0,0,1,1,0,1,0,2,3,3,3,2,0,2,3,2,1,1,0,2,0,2,0
2,39,1,9991,0,19,1,1,38,38,90,90,1,1,0,0,1,1,0,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,1,0
1,43,1,9130,1,1,1,6,37,37,9,6,0,0,0,0,1,0,0,3,1,0,2,0,0,0,0,0,2,0,0,0,0,2,0,2,0
1,7,1,9556,1,3,1,1,1,37,4,8,2,0,0,0,0,1,0,2,0,2,3,1,1,3,0,2,3,2,1,1,3,1,1,2,0
1,17,5,9119,1,1,1,1,19,37,9,7,1,1,0,0,1,1,1,0,0,0,1,2,2,2,0,0,1,2,1,2,0,0,1,3,0
1,1,1,9147,1,1,2,1,1,3,9,5,3,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,2,3,0,0
1,18,3,9070,1,1,3,1,1,37,4,7,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,3,0,0
1,17,3,9147,1,1,0,1,19,19,4,7,0,1,0,1,1,1,0,0,0,0,1,2,1,0,0,0,1,3,1,1,0,1,1,2,0
1,17,5,9238,1,1,2,1,38,37,9,9,1,0,0,1,0,0,0,2,0,0,3,3,2,1,0,0,3,3,2,2,0,2,0,2,0
1,39,1,9119,1,1,1,1,37,37,9,9,0,0,0,0,1,1,1,3,0,0,1,3,0,0,0,0,1,1,0,0,0,2,3,0,0
1,1,1,9670,1,1,0,1,19,1,7,4,1,0,0,0,1,1,0,2,0,0,1,1,2,1,0,0,1,1,1,1,0,0,0,0,0
1,39,1,9500,1,1,2,1,37,37,9,6,2,0,0,0,1,1,0,3,0,0,3,3,1,2,0,0,3,2,2,2,0,2,1,2,0
1,1,3,9773,1,1,3,1,38,38,9,7,2,1,0,0,1,1,1,0,0,0,2,1,2,2,0,0,2,1,2,2,0,1,1,2,0
1,1,1,9670,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
1,7,1,9085,1,3,3,1,19,37,90,90,3,0,0,0,1,1,0,2,0,2,1,3,1,3,2,0,1,1,0,0,0,0,2,1,0
1,17,1,171,1,1,2,41,1,1,5,7,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0
1,18,6,8014,0,1,2,1,3,19,2,4,1,1,0,0,1,0,0,2,0,0,2,2,1,0,0,0,2,1,0,0,0,2,0,2,0
1,17,1,9853,1,1,3,1,19,38,5,7,3,1,0,0,1,0,1,0,0,0,2,2,2,1,0,0,2,3,0,0,0,0,0,0,0
1,1,2,9254,1,1,0,1,4,19,4,3,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,2,3,0,0
1,39,1,9147,1,1,0,1,37,37,9,9,0,0,0,0,0,1,0,3,0,0,1,2,0,0,1,0,1,1,0,0,0,0,0,0,0
1,39,1,9085,1,1,1,1,1,1,4,4,1,0,0,1,0,1,0,3,0,0,1,3,1,3,2,0,1,3,1,1,2,0,0,0,0
1,39,1,8014,0,1,0,1,19,37,8,7,0,1,0,0,1,0,0,2,0,0,1,3,1,0,0,0,1,1,0,0,3,0,0,0,0
1,43,1,9991,0,1,3,1,37,37,9,9,0,1,0,0,1,0,0,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,1,0
1,42,1,9119,1,1,0,1,5,5,2,2,0,0,0,0,1,1,0,3,0,1,2,2,1,3,0,1,2,1,1,3,0,3,3,0,0
1,39,1,9254,1,19,1,1,19,19,3,1,0,0,0,1,0,1,0,3,0,0,2,1,0,0,0,0,2,1,0,0,0,3,3,0,0
1,1,2,9773,1,1,1,1,1,19,4,5,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,2,3,0,0
1,1,1,9853,1,1,1,1,19,19,9,9,0,1,0,0,1,0,0,2,0,0,1,2,1,1,0,0,1,2,1,1,0,2,3,0,0
1,1,1,9254,1,1,0,1,1,1,5,4,0,1,0,0,0,1,0,1,0,0,2,3,1,0,0,0,2,3,0,0,0,1,1,2,0
5,7,1,9130,1,3,3,1,19,38,9,6,3,0,0,0,0,0,0,3,0,1,1,2,1,3,3,0,1,1,1,2,2,1,1,2,0
1,1,2,9147,1,1,0,1,1,19,4,6,0,0,1,0,1,0,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,3,3,0,0
1,44,1,9070,1,39,0,1,1,19,4,7,1,0,0,1,0,1,0,1,0,0,1,3,0,0,3,0,1,3,0,0,3,3,0,1,0
